bloque,categoria,tipo,titulo,autor_creador,link,descripcion,gratis_o_pago
B,salud_mental_postparto,video,Eliana Marengo - Psiquiatría Perinatal,"Eliana Marengo, psiquiatra perinatal",https://www.instagram.com/e.marengo_psiquiatraperinatal/,Contenido de una psiquiatra especializada en salud mental durante el embarazo y el posparto.,gratis
B,salud_mental_postparto,frase,Buscar ayuda profesional cuando algo no se siente bien es un acto de amor hacia tu bebé y hacia vos.,Anónimo,,Frase para animar a consultar ante señales de malestar emocional persistente.,gratis
B,lactancia,video,Inma Mellado IBCLC,"Inma Mellado, consultora certificada en lactancia materna (IBCLC)",https://www.instagram.com/inmamelladoibclc/,Contenido de una consultora certificada sobre lactancia materna y resolución de dudas frecuentes.,gratis
B,lactancia,frase,Cada gramo de leche que le das a tu bebé: de la forma que sea: viene con amor.,Anónimo,,Frase inclusiva sobre distintas formas de alimentar al bebé.,gratis
B,tipos_de_parto,articulo,¿Qué es el parto vaginal después de una cesárea (VBAC)?,NICHD - Instituto Eunice Kennedy Shriver de Salud Infantil y Desarrollo Humano (versión en español),https://espanol.nichd.nih.gov/salud/temas/labor-delivery/informacion/VBAC,Explica en qué consiste el parto vaginal después de una cesárea (PVDC/VBAC) y qué factores lo hacen una opción segura.,gratis
B,tipos_de_parto,video,Mi.Matrona,Equipo de matronas (cuenta profesional de divulgación),https://www.instagram.com/mi.matrona/,Cuenta de Instagram de matronas que explica con cercanía las distintas formas de parir y qué esperar de cada una.,gratis
B,tipos_de_parto,frase,No hay un parto correcto: hay el que tu cuerpo y tu bebé necesitaron ese día.,Anónimo,,Frase que valida todas las formas de parto sin jerarquías.,gratis
B,preparacion_parto,guia,Recursos gratis de preparación al parto,myBabymyBirth®,https://www.mybabymybirth.com/recursosgratis,"Recopilación gratuita de audios de relajación, relatos de partos y una plantilla de plan de parto para prepararte con calma.",gratis
B,preparacion_parto,video,Baby Suite by Pau,"Paula Camarós, matrona e IBCLC",https://www.youtube.com/@BabySuite_Centro,"Canal de una matrona con contenido sobre preparación al parto, embarazo y posparto, con un enfoque cercano y profesional.",gratis
B,preparacion_parto,frase,Prepararte no es no tener miedo: es saber qué hacer con el miedo cuando aparezca.,Anónimo,,Frase sobre el verdadero objetivo de la preparación al parto.,gratis
B,recuperacion_fisica_postparto,video,Diana Méndez - Fisioterapeuta pélvica,"Diana Méndez, fisioterapeuta especializada en suelo pélvico",https://www.instagram.com/therapelvix/,Contenido sobre recuperación del suelo pélvico y abordaje de la diástasis abdominal tras el parto.,gratis
B,recuperacion_fisica_postparto,video,Ser-Pélvica Fisioterapia,Clínica especializada en fisioterapia pélvica,https://www.instagram.com/serpelvica/,Cuenta de una clínica de fisioterapia pélvica con contenido educativo sobre recuperación postparto y salud del suelo pélvico.,gratis
B,recuperacion_fisica_postparto,articulo,Cuidados posteriores a la cesárea: datos médicos sobre curación y recuperación,American Pregnancy Association (versión en español),https://americanpregnancy.org/es/postpartum-es/cesarean-aftercare/,Explica los cuidados necesarios y los tiempos habituales de recuperación tras un parto por cesárea.,gratis
B,recuperacion_fisica_postparto,articulo,Recuperación de una cesárea: qué es normal y cuándo llamar al médico,UNM Health (Universidad de Nuevo México),https://es.unmhealth.org/stories/2022/10/c-section-recovery-whats-normal-when-to-call-doctor.html,Guía médica sobre qué síntomas son esperables tras una cesárea y cuáles ameritan consultar de inmediato.,gratis
B,cuidados_recien_nacido,video,Marta Garín - Pediatra,"Marta Garín, pediatra",https://www.instagram.com/dragarinpediatra/,"Contenido práctico de una pediatra sobre el cuidado del recién nacido, con enfoque también en la salud emocional de la familia.",gratis
B,cuidados_recien_nacido,video,Marta Abad - Pediatra,"Marta Abad, pediatra",https://www.instagram.com/insta.pediatra/,Cuenta de una pediatra dedicada a la atención primaria con consejos claros sobre el cuidado saludable del bebé.,gratis
B,cuidados_recien_nacido,guia,Cuidando al recién nacido en casa,UNICEF,https://www.unicef.org/mexico/informes/cuidando-al-reci%C3%A9n-nacido-en-casa,Guía oficial de UNICEF con orientaciones prácticas para el cuidado del bebé recién nacido en el hogar.,gratis
B,cuidados_recien_nacido,guia,Bienvenido bebé: guía completa para el cuidado del recién nacido,UNICEF República Dominicana,https://www.unicef.org/dominicanrepublic/media/3481/file/Publicaci%C3%B3n%20%7C%20Bienvenido%20beb%C3%A9.pdf,Guía completa y gratuita con recomendaciones sobre el cuidado del recién nacido en las primeras semanas.,gratis
B,nutricion,video,MARINA QUERO | Nutrición Prenatal,"Marina Quero, nutricionista especializada en nutrición prenatal",https://www.instagram.com/marinaqueronutricion/,Cuenta de Instagram con consejos prácticos de alimentación para cada etapa del embarazo y el posparto.,gratis
B,pareja_acompanante,articulo,Recalculando,"Ignacio Pereyra, periodista y padre",https://ignaciopereyra.substack.com/,"Newsletter gratuita sobre paternidad y masculinidad, con reflexiones honestas sobre el rol del padre o acompañante en la crianza.",gratis
B,salud_mental_postparto,articulo,Psicóloga perinatal online,"Itziar Velasco, psicóloga perinatal",https://itziarvelasco.com/psicologa-perinatal/,Recursos y artículos sobre duelo gestacional y depresión posparto desde la psicología perinatal.,gratis
B,salud_mental_postparto,articulo,Psicología Perinatal y Duelo Gestacional,"Silvia Payán, psicóloga especializada en duelo gestacional y depresión posparto",https://psicologiasilviapayan.com/,"Recursos sobre duelo gestacional y depresión posparto, escritos desde la experiencia profesional y personal.",gratis
